"HID","probs","pred_labels"
75,0.0475588994093732,0
76,0.00832892322226037,0
77,0.000801482378370973,0
78,0.00038592208764406,0
79,0.00140526133555363,0
80,0.0245080840008275,0
81,0.837922970762983,1
82,0.999963356451175,1
156,0.0237737382902355,0
157,0.00351872847483359,0
158,0.000479694806439586,0
159,0.000411705933085528,0
160,0.00404396403480581,0
161,0.536743237324713,1
162,0.983598596714732,1
238,0.00714394741911386,0
239,0.000808137239804813,0
240,0.000205001140900513,0
241,0.000468911005545059,0
242,0.0116586444493369,0
243,0.840883298582143,1
255,0.999999591928815,1
320,0.0347831365882288,0
321,0.000610950883451016,0
322,0.00014568919513875,0
323,0.00144393150897241,0
324,0.263496867888419,0
325,0.962448097484516,1
335,0.999999784029269,1
336,0.999993183412943,1
401,0.00546136109411053,0
402,0.000296853897531643,0
403,0.000412414870226319,0
404,0.00481373615591011,0
405,0.505252018839595,1
406,0.99995796804126,1
410,1,1
412,1,1
416,0.999999924329589,1
417,0.999841371765255,1
418,0.999968915963677,1
421,0.995137269567527,1
483,0.00797508312172625,0
484,0.000255605930530862,0
485,0.00220796095619149,0
486,0.170256974782135,0
487,0.995354046579414,1
493,1,1
494,0.999999999997664,1
498,0.999982418812164,1
499,0.999434555810706,1
502,0.93505065570368,1
503,0.948166631331542,1
564,0.106292778320934,0
565,0.00547963030544996,0
566,0.0043912346751279,0
567,0.0175810981840825,0
568,0.729579823099955,1
573,1,1
574,0.999999999966264,1
575,0.999999998915289,1
578,0.999996745614987,1
579,0.997266826331424,1
580,0.996221257308959,1
582,0.892829405550891,1
583,0.0954707899958402,0
645,0.56723345837271,1
646,0.0133506560796553,0
647,0.0336552428707879,0
648,0.487905819332089,1
649,0.996776754706175,1
654,1,1
655,0.999999999903303,1
656,0.999999986905354,1
657,0.999999922934849,1
660,0.99962065910275,1
661,0.987912396841879,1
663,0.798440428327994,1
664,0.02445088220404,0
665,0.00994574209149131,0
666,0.534881968869889,1
727,0.786731529382255,1
728,0.473235139133701,1
729,0.471480137258413,1
730,0.95882748597103,1
736,0.999999999983589,1
737,0.99999989085931,1
738,0.999999602670514,1
741,0.999943758973616,1
742,0.987085756679301,1
745,0.0510911999403061,0
746,0.00184220973500148,0
747,0.00175963740247405,0
748,0.304048446098752,1
809,0.963022534425267,1
