HID,preds
2321,0.01
2322,0.02
2323,0.03
2324,0.02
2325,0.03
2326,0.01
2327,0.01
2328,0.0
2329,0.0
2330,0.01
2358,0.23
2359,0.23
2361,0.25
2362,0.28
2363,0.26
2364,0.22
2365,0.21
2366,0.08
2367,0.0
2368,0.0
2369,0.0
2370,0.0
2371,0.0
2372,0.04
2396,0.0
2397,0.0
2398,0.0
2400,0.0
2401,0.02
2402,0.0
2403,0.02
2404,0.01
2405,0.03
2406,0.02
2407,0.01
2408,0.01
2409,0.02
2410,0.0
2411,0.01
2440,0.24
2441,0.24
2442,0.3
2443,0.31
2444,0.26
2445,0.23
2446,0.19
2447,0.2
2448,0.1
2449,0.01
2450,0.0
2451,0.0
2452,0.0
2453,0.0
2454,0.01
2477,0.0
2478,0.0
2479,0.0
2480,0.03
2481,0.03
2482,0.01
2483,0.0
2484,0.01
2485,0.02
2486,0.03
2487,0.01
2488,0.01
2489,0.01
2490,0.03
2491,0.03
2492,0.03
2493,0.01
2494,0.01
2521,0.28
2522,0.27
2523,0.31
2524,0.3
2525,0.27
2526,0.2
2527,0.2
2528,0.12
2529,0.08
2530,0.01
2531,0.0
2532,0.0
2533,0.0
2534,0.0
2535,0.02
2556,0.0
2557,0.0
2558,0.0
2559,0.0
2560,0.0
2562,0.03
2563,0.0
2564,0.0
2565,0.02
2566,0.02
2567,0.01
2568,0.01
2569,0.01
2570,0.01
2571,0.03
2572,0.04
2573,0.04
2574,0.03
2603,0.25
2604,0.27
2605,0.3
2606,0.27
2607,0.26
2608,0.21
2609,0.16
2610,0.13
2611,0.03
2612,0.01
2613,0.0
2614,0.0
2615,0.0
2616,0.0
2638,0.0
2639,0.0
2640,0.0
2641,0.0
2643,0.03
2644,0.0
2645,0.01
2646,0.03
2647,0.03
2648,0.01
2649,0.01
2650,0.01
2651,0.01
2652,0.03
2653,0.04
2654,0.04
2655,0.05
2656,0.01
2683,0.08
2687,0.31
2688,0.27
2689,0.24
2690,0.18
2691,0.16
2692,0.09
2693,0.02
2694,0.0
2695,0.0
2696,0.0
2697,0.0
2698,0.01
2719,0.0
2720,0.0
2721,0.0
2722,0.0
