"HID","trainpred1","trainpred2","trainpred3","trainpred4","trainpred5","trainpred6","trainpred7","trainpred8","trainpred9","trainpred10","trainpreds_mean"
48763,0.754921687081582,0.243543030385605,1.12437473287632e-16,1.72109730137981e-08,0.241752241407903,2.64573633501439e-06,0.00340350990831916,NA,0.0141875454073916,0.377795044004752,0.181733969015873
48844,0.940371043113501,0.967476008322827,2.85830390986216e-15,1.67700572852391e-08,0.515303874077367,3.71723897656303e-06,0.184070185003656,NA,0.00800502798913402,0.824825720867669,0.382228399264799
48925,0.974816051424172,0.995655210017353,1.35012665079597e-14,1.37568452353136e-08,0.703651834899695,1.44065917119861e-05,0.583509836794423,NA,0.0171595667239207,0.958850169168668,0.470406343264089
49005,0.981550074853714,0.999235564279808,2.84411076754052e-14,3.59825128468338e-09,0.850291360366514,6.35519918954194e-05,0.634290734316978,NA,0.0289625902290753,0.983646131577704,0.497560001245996
49006,0.951688934821481,0.978539380209759,4.08088230279114e-15,1.08927201013747e-08,0.563819504522989,1.10943770736216e-05,0.129734093730704,NA,0.0138190580123372,0.860380863026993,0.388665882177118
49087,0.970419459548934,0.996660456810873,1.16253221595794e-14,5.42256023454452e-09,0.766592762501125,3.31425728858317e-05,0.323088040971786,NA,0.0250250246541148,0.955127498732075,0.448549599023818
49168,0.989355105034802,0.999686658674089,1.1277583123072e-13,2.70359144281795e-09,0.916044372416097,0.000286194158167404,0.584315751259467,NA,0.0627140721540217,0.992427476370111,0.504981070307829
49249,0.947282203964994,0.989237179798529,4.29154837813868e-15,3.43524719253238e-09,0.759876989322294,2.20549328315718e-05,0.100729639176328,NA,0.0352167093048296,0.89451226899476,0.414097449881091
49330,0.975130200271233,0.99874519422452,1.92753762040951e-14,2.3213808237918e-09,0.870781181835774,8.56529492521497e-05,0.309714434880412,NA,0.0541978047261755,0.975402392386928,0.464895207066188
49492,0.95778447161535,0.990758854657223,5.34057165978867e-15,4.27929536624125e-09,0.773933249203659,2.51878718083561e-05,0.116071816551238,NA,0.0372308923944305,0.909289416065806,0.420565988070979
59090,0.943151077934724,0.976980132032234,2.55691223632084e-15,4.56531117034613e-09,0.695781706335089,1.65179973098266e-05,0.0540595027870026,NA,0.0395744071967762,0.844711577126597,0.394919436219449
59091,0.925273161474246,0.976483528099277,1.56928680071277e-15,3.35071068137195e-09,0.817797562979154,1.0018306335754e-05,0.0589256892251283,NA,0.0365896076050347,0.78258411951309,0.399740410061442
59092,0.897158362869537,0.965200575907314,1.06704754724322e-15,2.38165015377509e-09,0.753787911991277,6.83615300308633e-06,0.0594047872516718,NA,0.0194444524763141,0.710550556741054,0.378394831752425
59093,0.814055348871461,0.522715950388668,2.63130508757684e-16,7.40806899555620e-09,0.309343744685,3.87135749338591e-06,0.0069875959350488,NA,0.0207898551396097,0.493332748721555,0.240803235834101
59171,0.919034639616944,0.944474259680067,1.03816657768768e-15,3.13852449653117e-09,0.73444557854829,1.14110124025885e-05,0.0325493379597035,NA,0.049093777070759,0.737324929415379,0.379659326271341
59172,0.896395371704855,0.956860523584135,8.84462163771543e-16,2.10727459842688e-09,0.797709243083719,9.03140824136201e-06,0.0455075305455571,NA,0.0399058502456324,0.700575364167367,0.381884768538531
59173,0.768895372360503,0.517185110443191,1.29711937854932e-16,2.62072629632091e-09,0.407585741831166,4.54934363884269e-06,0.00663108513297407,NA,0.0509201593986803,0.422194904992075,0.241490769569217
59251,0.979244062929561,0.484345925766722,1.61915098487324e-15,3.19180340212096e-08,0.250879857049012,0.000119021678654141,0.015072054084992,NA,0.355531149188625,0.726405639407877,0.31239974911372
59252,0.893071613456906,0.630788272967403,2.16030261457605e-16,4.88759310581033e-09,0.456460985503459,8.24115859460338e-06,0.00747018527821476,NA,0.0622888023116447,0.558708283301597,0.28986626542949
59253,0.879804497439814,0.908917038765172,4.98837812081576e-16,2.57550112400092e-09,0.765979052618318,8.32222594120943e-06,0.025086773577097,NA,0.0624135894365551,0.630994020556459,0.363689255243873
59254,0.88880988889051,0.967580502450607,5.4673127788004e-16,3.26870091134961e-10,0.939658026940921,2.59755236850331e-05,0.12073066525015,NA,0.0630373224806715,0.654306600626018,0.403794331387715
