"HID","trainpred1","trainpred2","trainpred3","trainpred4","trainpred5","trainpred6","trainpred7","trainpred8","trainpred9","trainpred10","trainpreds_mean"
48763,0.886945337738084,0.624076835626789,0.00156547778291373,7.28792564986106e-08,0.987640392963239,0.000433823394057262,1.25030777713108e-06,NA,0.856652095434716,0.639774823913482,0.444121123337813
48844,0.190338849507992,0.0374381065760717,0.000423433139386789,1.03064664032931e-08,0.924176309651068,0.00234423527722874,1.66358873289657e-06,NA,0.699740559136268,0.840049069443755,0.299390248514108
48925,0.052978279413916,0.00861318518688101,0.00329955235697532,2.27420547380419e-09,0.867010686468228,0.00220079451390709,6.5235586963791e-07,NA,0.345593835138782,0.618844898718486,0.210949098491917
49005,0.0171782633588108,0.00571279303540825,0.00733579681592431,9.44679987921499e-10,0.832096615546029,0.00167303262606002,3.67009091507436e-07,NA,0.217778263837274,0.539515456214797,0.180143398820897
49006,0.146784163704185,0.0124219007362191,0.000612492904537551,1.3916704955264e-09,0.885826577866229,0.000413979837393106,3.20894040529883e-07,NA,0.570572927352653,0.554976280130193,0.241289849424125
49087,0.013090377270449,0.00281590588656981,0.00457217877134855,3.33776771016816e-10,0.757704370799158,0.000273842369858809,9.1394243776352e-08,NA,0.163759909162352,0.283754988683817,0.136219073852397
49168,0.0031905068923424,0.00254453457515357,0.0757684884315233,3.82659251802482e-10,0.799965376333376,0.000827000174456059,1.59418080867615e-07,NA,0.1900810983825,0.491654213119001,0.173781264189899
49249,0.0144957227363312,0.00302271714349767,0.00217905257415167,2.07719440438728e-10,0.813740883039454,0.000255098559990044,8.05199867580065e-08,NA,0.208603270011015,0.256875836968272,0.14435251797338
49330,0.000708578587015605,0.00115639666169164,0.0314550428135024,2.15183347971628e-10,0.759069020460322,0.000931038536111714,1.69319711830509e-07,NA,0.0817916731869861,0.359306673905943,0.137157621520719
49492,0.000147905908880564,0.000212378307205047,0.0285238375425804,1.23283760038546e-10,0.638005156089573,0.000584749092679947,2.17874413660143e-07,NA,0.0548992841209217,0.251756400726186,0.10823665886508
59090,5.77800955779794e-05,5.02356728172826e-05,0.0437067656654377,5.75801071755998e-11,0.563681152347135,0.000259286147510458,1.99996728531735e-07,NA,0.0466680473020343,0.178891702939859,0.092590574469409
