"HID","trainpred1","trainpred2","trainpred3","trainpred4","trainpred5","trainpred6","trainpred7","trainpred8","trainpred9","trainpred10","trainpreds_mean"
48763,0.300488003799395,0.999655605131657,3.73254670803239e-22,3.54017240609031e-07,0.115065916271016,1.35381760716787e-06,0.00323304330803273,NA,0.00029304464977469,0.0532175832026996,0.163550544910825
48844,0.0163767268192156,0.998961575167042,2.46739928099592e-23,3.65552659962391e-09,0.114189520404204,4.72305531942163e-06,0.00171722167688504,NA,0.000318461231257072,0.0100855645034895,0.126850421834771
48925,0.00370030550059534,0.998362451201874,9.94836707979251e-24,1.19312281713688e-09,0.058165178614374,4.34503466918025e-06,0.000429189723706201,NA,8.18436017004068e-05,0.00211368336926555,0.11809522202659
49005,0.00128174891344066,0.998021915808381,5.6917405766439e-24,7.66636110932716e-10,0.0299904163251392,2.52650222144787e-06,0.000253126591479668,NA,6.08371421121091e-05,0.00163503238483959,0.114582844937139
49006,0.0125371303259293,0.997980718191912,1.2916373481144e-23,1.88517260194415e-09,0.0310085734815478,9.28490737840241e-07,0.000694978448106296,NA,0.000178590480856888,0.00395251290230699,0.116261492689619
49087,0.00103390155056976,0.996721566121877,4.35977568258708e-24,5.34805593414012e-10,0.0102141912057481,4.92518136880591e-07,0.000201601486917331,NA,4.18291017965915e-05,0.00118146664295752,0.112155005462534
49168,0.000261923788400834,0.998092095822985,6.51804658565536e-24,6.88274883059693e-10,0.0145627380843344,9.60798074700012e-07,0.00019751448351978,NA,4.68050823729117e-05,0.00164991018771567,0.112756883215075
49249,0.00112543119824741,0.997242386454084,2.9191933661344e-24,5.01858186420143e-10,0.00705353454498272,4.66332195515872e-07,0.000222743351431708,NA,7.53359298416798e-05,0.00309379382864022,0.11209041023792
49330,7.76158478841323e-05,0.998017594782865,1.50642165627077e-24,2.26017712863772e-10,0.006713342924998,1.19232017543763e-06,0.000225456373670747,NA,3.58665249585522e-05,0.00291739062724078,0.111998717736423
49492,2.60756659275375e-05,0.99660821868472,5.71304230656766e-25,9.70842422929495e-11,0.00710889816561116,9.43233332221549e-07,0.000341366157924245,NA,5.78473909443965e-05,0.0070002746627761,0.112349291562036
59090,1.33913114536888e-05,0.99474526182863,4.34692493928105e-25,5.32318370824879e-11,0.00769412963298549,4.51594333426632e-07,0.00036853533907518,NA,7.41034350924119e-05,0.01164897704937,0.112727205582686
59091,9.26577308151033e-05,0.993566366359714,5.59018189776466e-25,9.1393528787974e-11,0.00559532306045087,2.88140840217857e-07,0.000225015439865282,NA,5.89336185986184e-05,0.00627293224757589,0.111756835187695
59092,0.00447196782257598,0.996902026269188,3.58091922324352e-24,7.48503427213225e-10,0.00986974928455859,3.1260090181235e-07,0.000265864579987508,NA,8.05261398104738e-05,0.00354805527787511,0.112793166969267
59093,0.166976013990595,0.999703454129921,1.82191859338871e-22,7.54243380466594e-08,0.207012638130518,3.41261094688079e-06,0.00953920922121127,NA,0.000819523159193391,0.0872465949083633,0.16347788017501
