"HID","trainpred1","trainpred2","trainpred3","trainpred4","trainpred5","trainpred6","trainpred7","trainpred8","trainpred9","trainpred10","trainpreds_mean"
83116,0.999132707953599,0.995345793415054,0.194071919163127,0.213614476957723,NA,0.980648508219503,0.659008578935368,0.00501996432364581,0.00966578139761557,0.98819846552267,0.560522910654256
83117,0.998575675392775,0.999486408113665,0.136583811022213,0.029005236460184,NA,0.987327158937547,0.586453183002609,0.00208429066894246,0.00605315930905671,0.985418450708734,0.525665263735081
83118,0.995455915775801,0.999551598782484,0.0502734568173422,0.00110645095413167,NA,0.983597491632125,0.287755850519088,0.000506199432495055,0.00241760872183221,0.936154802575717,0.472979930579002
83119,0.943088936369399,0.998774549364612,0.00226169808696083,0.000210960737274469,NA,0.764371426197563,0.00964084437105917,1.60221165980641e-05,0.000135415411849598,0.200471509389299,0.32433015133829
83120,0.674343611979967,0.983439149225072,0.000263355000362331,0.00101136564584153,NA,0.404611348760654,0.00145259362986006,1.15280087936637e-06,1.40655086177693e-05,0.00438631137059214,0.229946994880205
83121,0.0263707532422336,0.973518655714369,0.00241498436144606,0.00389714494445788,0.236616218197179,0.347084785537118,0.000132053825524618,2.95674453484192e-07,1.35742112299389e-06,NA,0.176670694324212
83122,0.00167149280284731,0.980460157109181,0.00474137435844357,9.92945584615115e-06,0.23341889316778,0.451793405945488,0.0001627048957059,4.64498721370071e-08,1.12575792577152e-08,NA,0.185806446160305
83123,0.00119500623522355,0.944554292944076,0.0375845927186511,5.34731449541437e-10,0.999895689245694,0.722309625886067,0.000171498835685151,7.9289421934589e-08,2.96270423979087e-12,NA,0.300634531743613
83124,0.00340215949590432,0.204048265784896,0.0717574404827725,1.79629706559648e-12,0.999999824883674,0.840191206589017,0.000393842434774493,4.94003531401228e-08,2.18879392207823e-14,NA,0.235532532119246
83125,0.000466105988245917,0.00126503192781919,0.00590531807222017,8.81306333619464e-16,0.999999577817456,0.168443593007711,3.19476007306287e-07,1.68380672867979e-09,5.68500180455259e-17,NA,0.130675549774807
83126,0.000977047199716994,0.000366589527019518,0.0514823543337174,4.49562646526534e-16,0.999999727051218,0.236011826485713,5.4547336693755e-08,6.54574939346559e-09,3.5065562414535e-17,NA,0.143204178410052
83127,0.0109302169820872,0.000742791757213084,0.279503182537765,1.11757357680605e-15,0.999999951255314,0.659211135469745,7.15927468864334e-08,7.00872396167653e-08,1.76421072578083e-16,NA,0.216709713298012
83128,0.0270242069364612,0.000849181890508424,0.321904727962719,1.28933283718298e-15,0.999999962372082,0.773012290451321,6.41524242053486e-08,2.04827937183284e-07,2.48309016175023e-16,NA,0.235865626510384
83129,0.00790594432165621,0.000138457089427931,0.100257018572076,1.52812439848026e-16,0.99999991161428,0.533567338990601,4.51261633785964e-09,1.4362879015824e-08,1.08089068429315e-16,NA,0.182429854384837
83189,0.999963608744414,0.99982154231408,0.956608864634532,0.992508901637758,NA,0.999999228239906,0.999118831679486,0.946814974952281,0.029235550935302,0.997884042827467,0.880217282885025
83190,0.999954369948452,0.999958450851934,0.97526416901542,0.989828396700551,NA,0.999998829398701,0.997340620445709,0.466829758052615,0.314688839369844,0.99880289732427,0.860296259011944
83191,0.999886379291192,0.999965876549465,0.935170426647892,0.991464114962887,NA,0.999991244232206,0.996752863348601,0.178305624821491,0.409773355438486,0.997412854466592,0.834302526639868
83192,0.999689848963868,0.990887351452814,0.91429175590655,0.555604176797956,NA,0.999954476189935,0.909705258057816,0.08667635755913,0.0806287369632651,0.997617367850705,0.726117258860227
83193,0.999401047638073,0.941058445589484,0.216560488871422,0.742237521339129,NA,0.999519148806691,0.904408963337988,0.0630622633682952,0.0116457866999587,0.990415484761084,0.652034350045792
83194,0.999012481617908,0.783821838209259,0.346184976730331,0.764530335164441,NA,0.994497744666265,0.639484164828301,0.0220607804088781,0.00238184780604503,0.97167448935342,0.613738739864983
83195,0.999397929640063,0.999014414683655,0.137117924338183,0.771806429556425,NA,0.988691653786032,0.8581900211101,0.0076980478452537,0.00789542984249059,0.982671515725111,0.639164818503035
83196,0.999529688548602,0.996203711903549,0.186191205098973,0.572677514074499,NA,0.987813851141293,0.731111529413878,0.0101451708130539,0.0145649792692059,0.990013427061623,0.609805675258298
83197,0.999077336436199,0.999823634003393,0.0753091106406181,0.805807645989564,NA,0.985263256746163,0.830664588958622,0.023267009908922,0.00564742496814504,0.969788123521749,0.632738681241486
