"HID","PA","valpred"
48763,0,0.025254945111849
48844,0,0.0112036457680361
48925,0,0.0134870609360672
49005,0,0.0174495353098282
49006,0,0.016937565588177
49087,0,0.0242819320496666
49168,0,0.0316726698253087
49249,0,0.0340791055516085
49330,0,0.0425567137507639
49492,0,0.0582222407130438
59090,0,0.0709262361353248
59091,0,0.052753141189625
59092,0,0.0252839972870691
59093,0,0.0274499543345683
59171,0,0.0724218685500755
59172,0,0.0412027054672196
59173,0,0.0276919649869689
59251,0,0.23822598373147
59252,0,0.126918817398839
59253,0,0.0673099995717961
59254,0,0.0289055880306901
59262,0,0.615651033770569
59332,0,0.254646789462032
59333,0,0.227511041066173
59334,0,0.127828940777103
59335,0,0.0672108772146493
59336,0,0.0482341396405014
59344,0,0.74077373833505
59413,0,0.242704219250341
59414,0,0.167308006326789
59415,0,0.0863130216573949
59416,0,0.0775892132785894
59424,0,0.667756965468347
59425,0,0.675006135156895
59494,0,0.249039899469081
59495,0,0.22427149991147
59496,0,0.111494432452795
59497,0,0.105673832273691
59506,0,0.655843183532019
59507,0,0.566238165802659
59576,0,0.209345063647966
59577,0,0.169560969041803
59578,0,0.105030794686366
59579,0,0.106591936675195
59587,0,0.599246015027592
59588,0,0.618870969757541
59589,0,0.62664475294271
59656,0,0.194623625813832
59657,0,0.152423696371431
59658,0,0.112039632031988
59659,0,0.094109703162905
59668,0,0.645835407833684
59669,0,0.580664867981712
59670,0,0.422679840253951
59736,0,0.130188395307448
59737,0,0.16041982334355
59738,0,0.169159610130921
59739,0,0.0839798956520804
59740,0,0.10741588384685
59741,0,0.0895816033805125
59749,0,0.735994581586108
59750,0,0.614796535073939
59751,0,0.366004252147191
59752,0,0.383827012136459
59816,0,0.1094982394351
59817,0,0.141648771183267
59818,0,0.172018196740759
59819,0,0.128174614498618
59820,0,0.107717408651009
59821,0,0.068061223710366
59822,0,0.101360971715996
59830,0,0.781202877227951
59831,0,0.642100835279429
59832,0,0.52597753820913
59833,0,0.259464105974648
59834,0,0.333269116011756
59895,0,0.0581982794282693
59896,0,0.131635800909693
59897,0,0.138663213823538
59898,0,0.1570230200514
59899,0,0.108079670893154
59900,0,0.085110325452716
59901,0,0.0651153457453885
59902,0,0.0605358748408388
59903,0,0.0828014231338495
59910,0,0.807161890572841
59911,0,0.729398640649277
59912,0,0.48685174107478
59913,0,0.266214378879066
59914,0,0.230271435613091
59915,0,0.359589619357279
59976,0,0.0323498751667105
59977,0,0.118968617450318
59978,0,0.171153233442781
59979,0,0.155685443358288
59980,0,0.140425026596314
59981,0,0.0655719080294604
59982,0,0.0396898512536299
59983,0,0.0946941211880757
59984,0,0.0542891446996693
59985,0,0.101230751381455
59991,0,0.680479057201038
59992,0,0.746567725274292
59993,0,0.518875405019889
59994,0,0.231159500134761
59995,0,0.217030800760675
59996,0,0.275314528341686
59997,0,0.175965136135869
60057,0,0.0258105833473039
60058,0,0.0725972591119867
60059,0,0.165152599896389
60060,0,0.219196944443874
60061,0,0.174259644756574
60062,0,0.0627985875933403
60063,0,0.0320813912360304
60064,0,0.028988521479369
60065,0,0.115971876313719
60066,0,0.0538343693642275
60067,0,0.130372502895387
60073,0,0.640957066969613
60074,0,0.454320914647085
60075,0,0.189658432170875
60076,0,0.178138900273922
60077,0,0.256085666242472
60078,0,0.300275947345976
60137,0,0.049616624026797
60138,0,0.0559949194838645
60139,0,0.0943518154690364
60140,0,0.185970376769015
60141,0,0.151136012164766
60142,0,0.0784423107934642
60143,0,0.0349782220023148
60144,0,0.021629812378601
60145,0,0.0280753083886416
60146,0,0.125248509944268
60147,0,0.0686479211608402
60148,0,0.153526995964602
60153,0,0.503747174227514
60154,0,0.463261452295427
60155,0,0.232849631043802
60156,0,0.191902816298691
60157,0,0.162849119320871
60158,0,0.316182965218509
60159,0,0.203456690741622
60218,0,0.0402497159839139
60219,0,0.0720931227473603
60220,0,0.0968335587671186
60221,0,0.129035258326158
60222,0,0.172483526084847
60223,0,0.10331860431982
60224,0,0.0586203433542061
60225,0,0.0387096822143702
60226,0,0.0217347328690807
60227,0,0.0625280499710657
60228,0,0.133596273744152
60229,0,0.160192477799932
60230,0,0.244089003581042
60235,0,0.677426999535181
60236,0,0.198520314301066
60237,0,0.262961600069139
60238,0,0.202617606311123
60239,0,0.207467083482682
60240,0,0.301189852602393
60299,0,0.0309253389959066
60300,0,0.0424750824924598
60301,0,0.0826118022315849
60302,0,0.131683111419608
60303,0,0.156632677124169
60304,0,0.126854940664395
60305,0,0.0792707088035496
60306,0,0.0453186901165316
60307,0,0.0306482868214458
60308,0,0.0341839602906322
60309,0,0.0820567437217017
60310,0,0.109284183908598
60311,0,0.166711614696655
60312,0,0.325360942210013
60316,0,0.58833767187789
60317,0,0.325221067938634
60318,0,0.14228623941222
60319,0,0.256778830953876
60320,0,0.156612367476907
60321,0,0.312158136703762
60322,0,0.141696209199417
60379,0,0.0530431266966067
60380,0,0.0370931055543887
60381,0,0.0474828362293742
60382,0,0.089611053538218
60383,0,0.124710031157112
60384,0,0.119085311794408
60385,0,0.0918766331788775
60386,0,0.0514265474568354
60387,0,0.0349841165778412
60388,0,0.0359472041485128
60389,0,0.0506478595795928
60390,0,0.0627042464643318
60391,0,0.183787031854209
60392,0,0.329123580059174
60393,0,0.430416335253964
60397,0,0.770488547195364
60398,0,0.163986214677663
60399,0,0.185422949937673
60400,0,0.22574772470874
60401,0,0.198876623341449
60402,0,0.234698152600473
60403,0,0.0457731413797517
60460,0,0.0591891840946609
60461,0,0.0498302020002043
60462,0,0.0385867319189171
60463,0,0.0568937891384111
60464,0,0.101847960396808
60465,0,0.10004610733456
60466,0,0.0916537364302704
60467,0,0.071934280294658
60468,0,0.0336343699715368
60469,0,0.0332342111366933
60470,0,0.0403569363647359
60471,0,0.048530321392567
60472,0,0.112106442798799
60473,0,0.0933486444393602
60474,0,0.397293010007818
60478,0,0.687699732414289
60479,0,0.379150959646187
60480,0,0.181903300683678
60481,0,0.247306861305228
60482,0,0.13107269845335
60483,0,0.212929441373312
60484,0,0.0888246863839659
60541,0,0.0563150743299438
60542,0,0.0472581243211628
60543,0,0.037338370771771
60544,0,0.0416083790328009
60545,0,0.0650557547698943
60546,0,0.102189150871376
60547,0,0.0930234335511376
60548,0,0.0782150804553119
60549,0,0.0458818568088439
60550,0,0.0338494539686672
60551,0,0.0372110839356795
60552,0,0.0475771925362833
60553,0,0.0618608605340466
60554,0,0.178809219736958
60555,0,0.0610768144310181
60556,0,0.527321146463729
60557,0,0.577894714008476
60560,0,0.768036211226081
60561,0,0.296221687694636
60562,0,0.115701640844236
