"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
15939,0,0.206,0,1,1,0.404632830758612
15940,0,0.199,0,1,1,0.399447817065707
15941,0,0.137,0,1,1,0.344019402576874
15942,0,0.127,0,1,1,0.333139583331045
15943,0,0.104,0,1,1,0.305413289293831
15944,0,0.066,0,1,1,0.248406331855099
15945,0,0.051,0,1,1,0.220107808692576
15946,0,0.033,0,1,1,0.178725887724591
15947,0,0.04,0,1,1,0.196057232558349
15951,0,0.009,0,0,0,0.0944877131056093
15952,0,0.013,0,0,0,0.113330683593826
15953,0,0.022,0,0,0,0.146756729104793
15954,0,0.051,0,1,1,0.220107808692576
15955,0,0.085,0,1,1,0.279021240863223
15956,0,0.236,0,1,1,0.424834655465493
15995,0,0.262,0,1,1,0.439942666207257
15998,1,0.572,0,1,1,0.495036423974096
15999,1,0.585,0,1,1,0.492968577110162
16000,1,0.62,0,1,1,0.485629319374187
16001,0,0.46,0,1,1,0.498646817545895
16002,0,0.354,0,1,1,0.478448443317473
16003,0,0.196,0,1,1,0.397167145848875
16004,0,0.14,0,1,1,0.347160655202344
16005,0,0.099,0,1,1,0.29881145943268
16006,0,0.094,0,1,1,0.291974740772638
16007,0,0.085,0,1,1,0.279021240863223
16008,0,0.088,0,1,1,0.283436653127884
16009,0,0.089,0,1,1,0.284886223184204
16010,0,0.121,0,1,1,0.326290461805836
16011,0,0.204,0,1,1,0.403170617166661
16012,0,0.277,0,1,1,0.447740406342192
16013,0,0.317,0,1,1,0.465540253606203
16014,0,0.363,0,1,1,0.481105458774334
16015,0,0.381,0,1,1,0.485875575713654
16016,0,0.372,0,1,1,0.483580241376599
16017,0,0.368,0,1,1,0.48250265160806
16018,0,0.395,0,1,1,0.489095301770743
16019,0,0.311,0,1,1,0.463134422704136
16020,0,0.248,0,1,1,0.432067914433232
16021,0,0.225,0,1,1,0.417791275099839
16022,0,0.159,0,1,1,0.36585906146063
16023,0,0.146,0,1,1,0.353282901948012
16024,0,0.125,0,1,1,0.330884397463048
16025,0,0.098,0,1,1,0.297463417052391
16026,0,0.07,0,1,1,0.255274685711618
16027,0,0.05,0,1,1,0.218054001448145
16028,0,0.04,0,1,1,0.196057232558349
16032,0,0.017,0,0,0,0.129335717138491
16033,0,0.011,0,0,0,0.104354635210372
16034,0,0.031,0,1,1,0.173404351355637
16035,0,0.03,0,1,1,0.170672578726429
16036,0,0.077,0,1,1,0.266724843503829
16037,0,0.207,0,1,1,0.40535825551642
16077,0,0.365,0,1,1,0.481671056850011
16079,1,0.541,0,1,1,0.498565509805449
16080,1,0.601,0,1,1,0.489937790988855
16081,1,0.607,0,1,1,0.488661221901012
16082,1,0.541,0,1,1,0.498565509805449
16083,0,0.415,0,1,1,0.492968577110162
16084,0,0.254,0,1,1,0.43551541152257
16085,0,0.18,0,1,1,0.384379692163553
16086,0,0.146,0,1,1,0.353282901948012
16087,0,0.115,0,1,1,0.319181573523405
16088,0,0.113,0,1,1,0.316751213622507
16089,0,0.086,0,1,1,0.28050433629925
16090,0,0.111,0,1,1,0.314289321768618
16091,0,0.15,0,1,1,0.357250091151322
16092,0,0.234,0,1,1,0.423584021680969
16093,0,0.264,0,1,1,0.441019839121211
16094,0,0.338,0,1,1,0.473265232169003
16095,0,0.377,0,1,1,0.484877413483146
16096,0,0.393,0,1,1,0.488661221901012
16097,0,0.387,0,1,1,0.487307365497864
