HID,Folds,BIO08_Mean,TXX_IDW1N10,BIO02_Mean,TN90P_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
59670,5,4.7282957,38.340274,11.307836,11.648349,5.871692,12.750767,70.6556,11.18573,29.626571,10.012424,0
59736,5,20.385790800000002,43.484536,11.074636,11.222608,0.0,0.0,0.000879,3.302467,13.327883,7.625341,0
59737,5,17.1873699,45.853756,12.0717342,11.443766,0.001182,0.0,0.020609,3.298213,12.19075,8.226117,0
59738,5,11.6099525,45.751262,12.5733254,11.601446,0.001254,0.000873,0.040729,3.305225,12.152586,8.260857,0
59739,5,13.509345099999999,44.279635,12.386581,11.785626,0.001129,0.0,0.0,3.241603,10.951963,7.931419,0
59740,5,11.4137785,42.998838,11.657836,11.888135,0.001255,0.0,0.0,3.465544,10.580451,8.329564,0
59741,5,13.7572078,39.445095,10.147566000000001,12.109269,0.0,0.0,0.00149,4.205214,11.496699,8.648457,0
59749,5,2.9836468,37.272414,10.8603173,11.742836,2.344321,7.845436,42.29257,9.025987,31.783971,11.675795,0
59750,5,0.3785434,38.023333,11.1244066,11.653178,4.682664,12.575992,64.073581,9.437268,28.165869,11.211263,0
59751,5,5.9493426,38.356693,11.397457,11.632816,5.997371,12.619604,70.273913,10.290699,27.442713,10.389269,0
59752,5,3.3162036,38.387064,10.962387699999999,11.642513,6.024319,12.731721,72.495148,11.161339,28.135523,9.2511,0
59816,5,19.4723046,41.280262,9.9456391,11.059766,0.0,0.0,0.0,3.38822,14.127429,6.221989,0
59817,5,18.47168,42.425436,10.8470528,11.10377,0.0,0.0,0.0,3.281493,14.090569,7.364637,0
59818,5,14.880531600000001,45.309189,12.5043279,11.205553,0.0,0.001465,0.041338,3.478101,13.245204,8.066396,0
59819,5,10.9544859,45.209532,13.2229932,11.483913,0.001625,0.000582,0.018334,3.355453,12.293705,8.164701,0
59820,5,11.044349200000001,45.097722,13.0208098,11.668139,0.002231,0.0,0.0,3.327056,11.41658,8.09306,0
59821,5,13.49394,43.926376,12.778021200000001,11.812972,0.001658,0.0,0.0,3.346829,10.790225,8.154576,0
59822,5,11.5887806,42.434624,11.6755408,11.92657,0.001052,0.0,0.0,3.799546,10.909544,8.538429,0
59830,5,1.7506449,36.822541,10.007736099999999,11.778957,1.822276,8.909095,45.023449,8.561306,30.318953,11.591977,0
59831,5,0.8830068000000001,37.767712,11.3924008,11.686628,3.787328,8.891062,48.155878,9.238295,29.671195,11.412699,0
59832,5,1.6408717,38.447748,11.0618222,11.630418,5.527908,12.559294,70.41033,9.551189,26.397384,10.846833,0
59833,5,9.267033600000001,38.304263,10.9682185,11.687064,7.257404,12.701001,72.756179,10.914922,27.397813,9.746721,0
59834,5,3.0665137000000002,38.519911,10.9492753,11.693635,5.67313,12.817801,71.387589,11.688884,28.977695,8.287464,0
59895,5,20.2425836,41.968321,11.353970200000001,10.764527,0.0,0.0,0.0,3.885985,15.038364,5.140392,0
59896,5,19.8305365,42.315575,10.5132657,10.919489,0.0,0.0,0.000932,3.767253,15.000397,6.422117,0
59897,5,18.118825100000002,42.329763,10.8481153,11.075247,0.0,0.0,0.0,3.419275,14.305616,7.163435,0
59898,5,15.5216073,44.662101,12.349774100000001,11.170442,0.0,0.0,0.01673,3.488134,13.603872,7.933552,0
59899,5,11.9584002,45.22841,13.70883,11.370848,0.001347,0.0,0.0,3.442789,12.63997,8.164025,0
59900,5,11.452062100000001,45.364034,13.8438752,11.57913,0.002522,0.0,0.0,3.434352,11.836993,8.108543,0
59901,5,10.891303,44.29497,13.370783499999998,11.761869,0.002829,0.0,0.0,3.2768,10.869181,7.907475,0
59902,5,13.5339338,43.460138,12.8076887,11.856902,0.001159,0.0,0.0,3.477705,10.473547,8.329607,0
59903,5,12.3166026,40.920469,11.817999799999999,11.965162,0.0,0.0,0.0,4.561382,12.294682,8.881259,0
59910,5,1.8398176,36.435167,9.8348732,11.780061,1.07777,8.316087,40.669558,8.436998,31.367078,11.514446,0
59911,5,0.38049750000000004,37.87696,10.9403176,11.692426,2.929468,8.542314,45.893684,8.793345,29.573131,11.49372,0
59912,5,2.0981755,38.526383,11.5854923,11.625072,5.421163,10.437949,58.659065,9.411118,26.6587,11.02788,0
59913,5,9.3539379,38.35353,11.1153184,11.656463,6.934386,11.755308,70.50182,10.467697,26.767328,10.002973,0
59914,5,11.2489013,38.284796,10.5885163,11.689493,6.643776,11.581589,69.52379,11.269043,27.790172,8.924792,0
59915,5,1.820077,38.402687,10.2340788,11.76782,5.132625,21.857649,96.537294,11.756154,29.165738,7.718714,0
59976,5,19.3021308,41.968999,12.3507571,10.687385,0.0,0.018334,0.960227,3.898729,14.85599,4.521058,0
59977,5,19.2903192,43.17661,11.4178173,10.812906,0.0,0.0,0.032533,3.955975,15.349538,6.346115,0
59978,5,16.1075613,43.191611,11.5697528,10.906086,0.0,0.046883,0.586232,3.826447,15.271129,7.184989,0
59979,5,13.2921098,43.869843,12.5526162,11.097671,0.0,0.007074,0.680429,3.599768,14.413662,7.796349,0
59980,5,11.005229199999999,45.564462,13.8651252,11.217223,0.000993,0.000293,0.28583,3.550238,13.240367,8.259721,0
