"HID","probs","pred_labels"
75,5.34859207525563e-05,0
76,1.80295487060265e-06,0
77,1.95298939093974e-07,0
78,9.86084882738516e-08,0
79,2.19038534510529e-07,0
80,3.19311758539483e-06,0
81,0.000417448236806237,0
82,0.00797031635963628,0
156,2.69136689817054e-05,0
157,3.07663450944315e-06,0
158,1.55742738517576e-07,0
159,7.67696445444884e-08,0
160,5.34312891649599e-07,0
161,4.31386195777524e-05,0
162,0.000659075367949366,0
238,7.23947371827003e-05,0
239,5.69956212942791e-07,0
240,4.59684949706452e-08,0
241,5.79379505057784e-08,0
242,9.23139494794297e-07,0
243,0.000220448572824942,0
255,4.92474544076138e-12,0
320,4.57000277977091e-05,0
321,3.95737576512587e-07,0
322,2.73613157489103e-08,0
323,1.13048319956564e-07,0
324,8.09706337549336e-06,0
325,0.000183822896664655,0
335,1.01563771444787e-11,0
336,2.74802817705805e-12,0
401,4.30423544944177e-06,0
402,7.62082776172401e-08,0
403,3.79036744077889e-08,0
404,2.36263437547709e-07,0
405,1.33717718032925e-05,0
406,0.00428833441650945,0
410,1.95787835004495e-08,0
412,1.35320053767142e-09,0
416,3.08284501906954e-11,0
417,8.75636606361587e-12,0
418,4.15864341192328e-12,0
421,1.91918447893213e-13,0
483,4.18296455933308e-06,0
484,3.73649325801941e-08,0
485,7.44777675248458e-08,0
486,4.10168348335924e-06,0
487,0.000842408116481183,0
493,6.13203428997191e-09,0
494,2.95262148199182e-09,0
498,2.2543646291973e-11,0
499,8.10136379613655e-12,0
502,4.10344328730788e-13,0
503,2.22044604925031e-16,0
564,0.000141791572739333,0
565,8.9704299316237e-07,0
566,2.40404569901329e-07,0
567,3.57502728485123e-07,0
568,3.37297096360767e-05,0
573,1.98575304865653e-08,0
574,9.20761161201739e-09,0
575,3.88219716602148e-09,0
578,7.25283961596238e-11,0
579,1.71816262632024e-11,0
580,9.35087322180665e-12,0
582,7.89559538846206e-13,0
583,1.88034599676999e-13,0
645,0.000240314954547739,0
646,8.05685648168162e-07,0
647,6.89568653033764e-07,0
648,7.59950644631689e-06,0
649,0.00166472227570947,0
654,4.11426451037877e-08,0
655,2.34829776797893e-08,0
656,1.31149333123105e-08,0
657,6.10479466643423e-09,0
660,5.13432654706053e-11,0
661,1.45365418707104e-11,0
663,2.74872064847024e-12,0
664,3.68087849774971e-13,0
665,2.22044604925031e-16,0
666,2.22044604925031e-16,0
727,0.000154348113586061,0
728,2.74627842528228e-05,0
729,1.61987186529626e-05,0
730,0.000347533675849103,0
736,9.01202645462086e-08,0
737,3.18678601184828e-08,0
738,1.26866431629463e-08,0
741,1.8672437973024e-10,0
742,3.39454228447201e-11,0
745,7.57764327253394e-13,0
746,1.55345619560679e-13,0
747,2.22044604925031e-16,0
748,2.22044604925031e-16,0
809,0.000616765187053403,0
810,0.0001257968615374,0
811,0.000588928462049284,0
816,1.00639245208628e-07,0
817,7.31527740120304e-08,0
818,3.08897161069145e-08,0
819,1.29864259971603e-08,0
822,9.5128695013614e-11,0
823,2.75933535404217e-11,0
825,1.7222533935843e-12,0
826,3.31131519077383e-13,0
827,2.22044604925031e-16,0
828,2.22044604925031e-16,0
829,2.22044604925031e-16,0
889,0.0230180612981343,0
890,0.00252928099935119,0
891,0.00237587376396779,0
892,0.0110768817634725,0
898,1.02666408624512e-07,0
899,5.47868936927348e-08,0
900,1.76074399772134e-08,0
901,5.91039815734572e-09,0
904,4.83701902785451e-11,0
905,1.4435969593559e-11,0
906,3.75920609354345e-12,0
907,6.90084189603228e-13,0
908,2.22044604925031e-16,0
909,2.22044604925031e-16,0
910,2.22044604925031e-16,0
911,2.22044604925031e-16,0
972,0.0076221567940917,0
973,0.0216976626619143,0
979,1.92461319373165e-07,0
980,1.29961895380211e-07,0
981,4.06085696050551e-08,0
982,1.02294776683945e-08,0
983,2.36394286745118e-09,0
985,1.47532579524165e-10,0
986,3.11288438717874e-11,0
987,6.59494450469051e-12,0
988,1.47748366904221e-12,0
989,2.5773929860106e-13,0
990,2.22044604925031e-16,0
991,2.22044604925031e-16,0
992,2.22044604925031e-16,0
1060,1.24136584849804e-07,0
1061,7.46177828104299e-08,0
1062,2.6414724298562e-08,0
1063,7.12687288148106e-09,0
1064,1.85207208042427e-09,0
1065,4.75103136462453e-10,0
1066,8.77285047279514e-11,0
1067,1.56821953244643e-11,0
1068,2.67278320903291e-12,0
1069,5.31624981636079e-13,0
1070,2.22044604925031e-16,0
1071,2.22044604925031e-16,0
