"HID","probs","pred_labels"
75,0.00993616824569186,0
76,0.00155365995295094,0
77,0.000120398365312682,0
78,5.35307032126132e-05,0
79,0.000202099751970007,0
80,0.0041324040675731,0
81,0.50241449530459,1
82,0.999751732284689,1
156,0.00491991326404946,0
157,0.000661258339182679,0
158,7.22857629791716e-05,0
159,5.63548236098517e-05,0
160,0.000608026302834471,0
161,0.167063872523831,0
162,0.913169338258722,1
238,0.0018527126425061,0
239,0.000141259557123396,0
240,2.80544395455408e-05,0
241,6.23697981855842e-05,0
242,0.00181481901844519,0
243,0.502539916506377,1
255,0.999987229754199,1
320,0.00727991558897332,0
321,0.000102366267044219,0
322,1.90734281229571e-05,0
323,0.000198481592904008,0
324,0.0554590408722924,0
325,0.816084945755732,1
335,0.999993543906846,1
336,0.999790412010679,1
401,0.00104082166508778,0
402,4.31150725316944e-05,0
403,5.39477153036933e-05,0
404,0.00068691299101304,0
405,0.149454938112827,0
406,0.999719443639172,1
410,1,1
412,1,1
416,0.999997856924656,1
417,0.995744764667632,1
418,0.999065743000683,1
421,0.852813542544774,1
483,0.00142624502840731,0
484,3.45759109830176e-05,0
485,0.00029487131858258,0
486,0.0333630527229146,0
487,0.974629605978224,1
493,0.999999999999809,1
494,0.999999999945611,1
498,0.999538697514475,1
499,0.984988894590462,1
502,0.30607292201753,0
503,0.330310209944724,0
564,0.0234591785075074,0
565,0.000856654662832613,0
566,0.000619532027238267,0
567,0.00258770671752081,0
568,0.322528907122917,0
573,1,1
574,0.999999999308553,1
575,0.999999977612373,1
578,0.999918068402166,1
579,0.936083212447753,1
580,0.909278052932873,1
582,0.209827674172104,0
583,0.00324075039781662,0
645,0.187142027954871,0
646,0.0020409912727873,0
647,0.00514313271884895,0
648,0.137826884121653,0
649,0.983189112465236,1
654,1,1
655,0.999999998173626,1
656,0.9999997700763,1
657,0.999998558797104,1
660,0.991075595058107,1
661,0.766357993569074,1
663,0.123037069803487,0
664,0.000821792419653745,0
665,0.000289440284318775,0
666,0.0282852317996365,0
727,0.382209156739552,0
728,0.124074107296842,0
729,0.127708942671459,0
730,0.811863192873525,1
736,0.999999999690637,1
737,0.999998291940386,1
738,0.999993233337295,1
741,0.998723271346983,1
742,0.766706922681546,1
745,0.00182050173523409,0
746,5.80172038088477e-05,0
747,4.87990704058997e-05,0
748,0.011257353990297,0
809,0.819901532554666,1
810,0.649014147565755,1
811,0.834845940342812,1
816,1,1
817,0.999999991381302,1
818,0.999988092220882,1
819,0.99996910137179,1
822,0.946433460578253,1
823,0.382638830763959,0
825,0.00107152685966866,0
826,5.40897716667905e-05,0
827,6.83921466757444e-06,0
828,8.61617600759929e-05,0
829,0.0560026633043139,0
889,0.99605858615999,1
890,0.961196137523196,1
891,0.962495898691702,1
892,0.996465833866813,1
898,0.999999999948752,1
899,0.999990260028782,1
900,0.999938474292066,1
901,0.999960016643894,1
904,0.448291545944732,1
905,0.0898664793527365,0
906,0.00479027003701889,0
907,0.00012399097518761,0
908,3.61277151548457e-06,0
909,8.72614773611914e-07,0
910,1.2737700302819e-05,0
911,0.104842378342436,0
972,0.987629673714692,1
973,0.997226906511928,1
979,1,1
980,0.999999839521764,1
981,0.999966358586154,1
982,0.999884294555013,1
983,0.999468641897123,1
985,0.792643036427254,1
986,0.149358090468286,0
987,0.00566898445064779,0
988,0.000267241363040293,0
989,1.00966714117202e-05,0
990,8.92891915851423e-07,0
991,5.56335626221644e-07,0
992,1.48155146987091e-05,0
1060,0.999999999246541,1
1061,0.999995364185331,1
1062,0.999946909391097,1
1063,0.999723144996887,1
1064,0.994573491307619,1
1065,0.835675363024954,1
1066,0.388532907876152,0
1067,0.0344854468414229,0
1068,0.000711846796436841,0
1069,2.28919280968673e-05,0
1070,1.10277912184133e-06,0
1071,1.7913807647557e-07,0
1072,4.46929867336644e-07,0
1073,0.000323332705755371,0
1141,1,1
1142,0.999999722775943,1
1143,0.999980604440308,1
1144,0.999864404546983,1
1145,0.996532054399626,1
1146,0.975140065090904,1
1147,0.688192963422749,1
1148,0.0938835231989235,0
1149,0.00275811974271239,0
1150,6.59872526083913e-05,0
1151,3.55553772482167e-06,0
1152,2.63167430607766e-07,0
1153,7.30982038836858e-08,0
1154,5.15960343198164e-07,0
1155,0.00702118915798967,0
1188,3.41364685982531e-11,0
1222,1,1
1223,0.999999999852756,1
1224,0.999998288954493,1
1225,0.999975778734351,1
1226,0.999703375681934,1
1227,0.983305993981095,1
1228,0.818915392346096,1
1229,0.369757308270416,0
1230,0.021272498484435,0
1231,0.000348834505071972,0
1232,6.86672288356988e-06,0
1233,5.29376518900485e-07,0
1234,1.01523387872923e-07,0
1235,1.15564634864634e-07,0
1236,3.37591542589041e-05,0
1237,0.171100794819387,0
1270,1.2140780662986e-10,0
1303,0.999999999999798,1
1304,0.99999994060048,1
1305,0.999991789285777,1
1306,0.999912980270775,1
1307,0.9971018702356,1
1308,0.944382993729596,1
1309,0.715658901567587,1
1310,0.101682043846469,0
1311,0.00154538881720544,0
1312,4.11421632269999e-05,0
1313,1.45367265626089e-06,0
1314,1.47086936490558e-07,0
1315,4.34159210647362e-08,0
1316,2.11467013219296e-07,0
1317,0.00153572348185707,0
1348,2.58127559275997e-10,0
1350,2.54339996366041e-11,0
1384,1,1
1385,0.999999999838396,1
1386,0.999999002625217,1
1387,0.999986958642491,1
1388,0.999687923710406,1
1389,0.990192154647022,1
1390,0.832561582244657,1
1391,0.504394531254994,1
1392,0.0243378608815026,0
1393,0.000238943604553339,0
1394,4.92991967328626e-06,0
1395,3.1513366764061e-07,0
1396,6.64433743712672e-08,0
1397,6.977536653106e-08,0
1398,5.46428036126824e-06,0
1428,2.76852536719695e-08,0
1429,6.56828422956306e-10,0
1432,2.34584102791213e-11,0
1466,1,1
1467,0.999999989868403,1
1468,0.999998704099616,1
1469,0.999969973686609,1
1470,0.999032226571124,1
1471,0.968357917082372,1
1472,0.722124293268146,1
1473,0.181364109046215,0
1474,0.00239554597929569,0
1475,2.51878338720655e-05,0
1476,1.04430390100911e-06,0
1477,1.04013868251298e-07,0
1478,3.82752302100667e-08,0
1479,1.55092918432711e-07,0
1480,0.000365636707804104,0
1509,5.0765517504254e-10,0
1510,7.48387340231643e-10,0
1511,3.10502325341067e-11,0
1512,1.73933323952148e-12,0
1513,2.97750490109e-12,0
1514,6.02521734747201e-11,0
