"HID","probs","pred_labels"
75,0.0130574670236189,0
76,0.00167735139082592,0
77,0.000115811839947668,0
78,4.91679745654515e-05,0
79,0.000189526423737118,0
80,0.00419562917535628,0
81,0.536688357784416,1
82,0.999794551606516,1
156,0.00625198472515356,0
157,0.000759986295633175,0
158,6.89190571184907e-05,0
159,5.0382913877987e-05,0
160,0.000583268470187888,0
161,0.175005177254609,0
162,0.92458273534857,1
238,0.00260155198787682,0
239,0.000143451661718843,0
240,2.44880622534819e-05,0
241,5.46686239249624e-05,0
242,0.00172176541007299,0
243,0.527004693375898,1
255,0.999960237664542,1
320,0.00940386981991326,0
321,0.000101360757961714,0
322,1.6367714165854e-05,0
323,0.000175704219274294,0
324,0.0550456298866108,0
325,0.829239258779923,1
335,0.999980299790959,1
336,0.999367544393895,1
401,0.00117322858281343,0
402,3.9105794027055e-05,0
403,4.6535305455143e-05,0
404,0.000615015413161935,0
405,0.148946740229487,0
406,0.999755317497099,1
410,1,1
412,1,1
416,0.999993676746033,1
417,0.989052970704275,1
418,0.99731655153631,1
421,0.648812316586828,1
483,0.00160218680680742,0
484,2.96544814288673e-05,0
485,0.000252181683536742,0
486,0.0324517888823622,0
487,0.97784297729756,1
493,0.999999999999334,1
494,0.999999999833318,1
498,0.998793956361512,1
499,0.962435197797533,1
502,0.138088527460913,0
503,0.13471092072398,0
564,0.0323204637904063,0
565,0.000853596971821926,0
566,0.000572903410145195,0
567,0.00227233436970353,0
568,0.333146193294178,0
573,1,1
574,0.999999998138881,1
575,0.99999994102716,1
578,0.999789496037899,1
579,0.861635139617371,1
580,0.802676483118374,1
582,0.0917764495411893,0
583,0.00127390445062523,0
645,0.232778012753333,0
646,0.00191504928501181,0
647,0.00458424295859204,0
648,0.132152733922068,0
649,0.985732582935851,1
654,1,1
655,0.999999995384052,1
656,0.999999475989802,1
657,0.999996619810227,1
660,0.97945909217341,1
661,0.585854158312557,1
663,0.0548738823302539,0
664,0.000345934045355648,0
665,0.000110356973089798,0
666,0.00853257963149232,0
727,0.420511487380063,1
728,0.128299795154326,0
729,0.12687464113115,0
730,0.829504210083181,1
736,0.999999999233397,1
737,0.999996493997864,1
738,0.999985432760313,1
741,0.99703017131269,1
742,0.596202279730523,1
745,0.000778354817559284,0
746,2.45280763516304e-05,0
747,1.81264617885827e-05,0
748,0.00338169023642047,0
809,0.842141506443602,1
810,0.652147964274961,1
811,0.852733877214513,1
816,1,1
817,0.999999980244328,1
818,0.999976633355302,1
819,0.999935997255086,1
822,0.889496718592844,1
823,0.220113494948034,0
825,0.000482892932391199,0
826,2.37581834245954e-05,0
827,2.76883925855054e-06,0
828,2.96118506741959e-05,0
829,0.0158555474330709,0
889,0.997115442965187,1
890,0.966979421775201,1
891,0.96773714763511,1
892,0.997224881041465,1
898,0.99999999986601,1
899,0.999981414651469,1
900,0.999877395550274,1
901,0.999913173982313,1
904,0.272668222530475,0
905,0.0427075923550277,0
906,0.00216885180852383,0
907,5.55630004595456e-05,0
908,1.52822263112766e-06,0
909,3.51706597139818e-07,0
910,4.62794266771235e-06,0
911,0.02947781911798,0
972,0.990044901153069,1
973,0.997926401010161,1
979,1,1
980,0.999999672002498,1
981,0.99993588518465,1
982,0.999766915137056,1
983,0.998860849854782,1
985,0.644366058921183,1
986,0.0748265032787935,0
987,0.00262117198438788,0
988,0.000122246619088368,0
989,4.44863672090535e-06,0
990,3.71324468403954e-07,0
991,2.20980199992205e-07,0
992,5.27339313504763e-06,0
1060,0.9999999981904,1
1061,0.999991103296431,1
1062,0.999895553665392,1
1063,0.999430436606925,1
1064,0.98898983289276,1
1065,0.716506767591536,1
1066,0.228968492945516,0
1067,0.0160964935079288,0
1068,0.000326836572125791,0
