HID,CDD_present,CDD_future,outlier_marker
36945,401.284463,444.606308,pf
37020,378.505107,338.078801,p
37021,427.354598,390.017978,pf
37022,439.440549,419.965029,pf
37023,439.50863,450.195841,pf
37024,380.433895,409.457212,pf
37025,388.828677,444.512368,pf
37102,386.764813,354.829038,p
37103,404.59776,374.756667,pf
37104,420.948513,410.193366,pf
37105,391.957463,425.737472,pf
37106,398.829552,451.476646,pf
37107,329.611616,371.207654,f
37184,368.871179,337.391937,p
37185,389.672416,377.500931,pf
37186,387.109069,412.499772,pf
37187,361.48057,405.021526,f
37188,367.001963,410.27667,pf
37268,322.793359,377.172185,f
37349,321.406344,370.763211,f
47235,300.513951,370.681441,f
47316,294.302488,372.01429,f
47317,308.463683,371.46159,f
47397,291.660503,369.926222,f
47398,303.491112,381.300988,f
47399,304.985539,367.773599,f
47478,305.992987,402.9836,f
47479,311.589331,387.231037,f
47480,308.028398,366.053462,f
47559,300.15712,379.986519,f
47560,309.601906,398.048215,f
47561,325.268745,388.04029,f
47640,298.699313,369.106786,f
47641,310.76985,400.583746,f
47642,323.311316,399.66578,f
47643,322.079942,375.147481,f
47721,305.406526,373.112912,f
47722,326.695166,413.393943,f
47723,326.876666,394.835554,f
47724,313.593912,365.732998,f
47802,300.883678,369.763969,f
47803,319.583988,405.94061,f
47804,327.914557,427.872598,f
47805,331.663064,387.201592,f
47883,291.536002,365.205621,f
47884,311.089227,389.095474,f
47885,332.457051,420.297671,f
47886,333.490512,403.043869,f
47887,322.306502,371.638696,f
47964,305.078524,378.114698,f
47965,337.081374,427.491162,f
47966,340.119062,414.50697,f
47967,337.10626,393.755756,f
47968,314.70733,368.220996,f
48046,326.706517,401.592125,f
48047,341.820086,419.037257,f
48048,349.878439,406.20003,f
48049,330.623525,383.860464,f
48050,313.172293,371.639109,f
48127,324.770382,391.393503,f
48128,339.481811,424.151255,f
48129,352.636175,413.61604,f
48130,348.858106,401.491198,f
48131,326.306889,381.344632,f
48132,305.19774,367.184782,f
48207,312.058006,367.827485,f
48208,331.050148,401.197334,f
48209,350.125949,413.254733,f
48210,360.430404,404.732759,f
48211,341.61343,396.452315,f
48212,325.448102,378.560933,f
48213,309.994681,368.381278,f
48289,326.18194,389.581397,f
48290,344.260779,408.115403,f
48291,357.689638,410.803875,f
48292,346.223538,405.75692,f
48293,335.053255,387.148662,f
48294,317.366904,376.151883,f
48370,318.656322,365.629312,f
48371,340.857983,402.001774,f
48372,358.983749,414.362737,f
48373,356.781277,408.020258,f
48374,350.618499,420.63879,f
48375,335.683557,391.006603,f
48376,313.265183,369.590703,f
48451,330.685989,382.354145,f
48452,361.842699,400.697232,f
48453,358.501194,408.610111,f
48454,358.867954,422.215154,f
48455,348.641514,410.916677,f
48456,334.532089,397.550772,f
48457,310.75662,367.521844,f
48532,320.966953,366.470261,f
48533,350.936184,394.097149,f
48534,362.858049,410.71365,f
48535,366.756446,411.916614,pf
48536,356.342237,429.189787,f
48537,351.365214,418.817909,f
48538,326.490249,387.074388,f
48614,343.481023,401.225591,f
48615,365.190506,386.144248,pf
48616,376.952485,421.682634,pf
48617,372.158569,428.407093,pf
48618,356.713582,428.721171,f
48619,348.617116,412.336659,f
48620,320.772873,382.099596,f
48694,324.137504,370.079494,f
48695,354.95103,400.168561,f
48696,370.378085,411.423391,pf
48697,373.118848,412.35892,pf
48698,376.300975,439.27098,pf
48699,363.013538,445.793707,f
48700,332.075434,395.910687,f
48701,308.979397,372.220481,f
48776,343.840702,459.912211,f
48777,365.88541,403.442152,pf
48778,379.565147,422.488497,pf
48779,382.198612,434.969683,pf
48780,374.948776,451.799684,pf
48781,356.511421,445.685807,f
48782,330.438241,402.109875,f
48857,323.398584,366.562282,f
48858,353.65733,405.033354,f
48859,378.232237,413.338765,pf
48860,388.969272,439.504143,pf
48861,390.414122,473.098822,pf
48862,363.897151,458.371152,f
48863,345.751894,433.521372,f
48864,318.524291,384.737212,f
48938,336.790151,381.518335,f
48939,371.039615,418.443451,pf
48940,386.450846,434.677589,pf
48941,410.205048,490.243195,pf
48942,390.414049,482.04875,pf
48943,360.657428,464.877917,f
48944,333.631937,407.515962,f
49020,363.821201,418.938719,f
49021,384.424824,433.203993,pf
49022,408.122991,475.818932,pf
49023,409.794268,497.35106,pf
49024,378.593659,494.2308,pf
49025,350.308943,451.973233,f
49026,316.531652,381.821722,f
49101,346.354869,389.09837,f
49102,371.724788,434.200312,pf
49103,409.389121,451.157377,pf
49104,415.542844,496.512867,pf
49105,396.22255,516.101262,pf
49106,366.865323,488.250382,pf
49107,340.614957,438.508457,f
49108,306.553946,365.737563,f
49182,364.566379,417.309164,f
49183,398.874308,451.705999,pf
49184,433.218164,475.924471,pf
49185,413.046122,521.232074,pf
49186,380.25177,511.346497,pf
49187,351.345635,466.878227,f
49188,326.52503,390.99368,f
49263,346.919049,373.772901,f
49264,376.17046,437.566777,pf
49265,417.486872,478.590142,pf
49266,419.037624,496.694034,pf
49267,405.731948,590.094142,pf
