HID	Elevation_Mean
670	-54.360902
671	-552.109476
672	-1026.961938
673	-1909.950039
674	-1756.496695
675	-1961.846798
676	-1388.019360
677	-2399.671385
678	-3377.906015
679	-3608.809218
680	-3684.396196
681	-3767.488956
682	-3434.860186
683	-3075.945668
684	-2729.176017
685	-2166.736171
686	-2078.165458
687	-1975.400382
688	-2156.569506
689	-2548.440219
690	-3114.222472
691	-1915.203014
692	-1401.988969
693	-2697.864676
694	-3765.185220
695	-3996.525271
696	-3758.002588
697	-2640.540007
698	-3860.427545
699	-3185.477261
700	-3438.739092
701	-3625.090743
702	-3357.163070
703	-3330.508235
704	-2700.554874
705	-2556.195198
706	-2708.544687
707	-3145.391790
708	-3194.033715
709	-3020.854777
710	-2980.180399
711	-3198.341577
712	-2818.949697
713	-2484.067497
714	-2862.670506
715	-3113.877687
716	-3200.748021
717	-3235.246962
718	-3152.878394
719	-1584.941527
720	-1412.340809
721	-936.490331
722	-515.330434
723	-456.012293
724	-418.519734
725	-265.332915
726	-49.395999
727	537.940154
728	666.404831
729	961.922667
730	1054.597764
731	-93.607709
732	-60.638183
733	-44.214947
734	-24.831284
735	-8.454451
736	-2.612424
737	9.964683
738	63.318587
739	9.446595
740	-16.037961
741	113.723998
742	339.964653
743	-3.988382
744	-6.692304
745	198.570050
746	589.697731
747	288.816033
748	38.605629
749	-40.136997
750	-46.953029
751	-41.474719
752	-234.872336
753	-2068.746635
754	-1228.076947
755	-1277.606374
756	-922.570073
757	-1572.911579
758	-1362.181596
759	-3012.975402
760	-3783.148893
761	-3707.765044
762	-3805.796674
763	-3424.935036
764	-3044.417626
765	-2857.051650
766	-2514.306376
767	-2181.320127
768	-1963.192808
769	-1808.782327
770	-2052.264201
771	-2198.653774
772	-2412.613629
773	-2230.235579
774	-1213.124471
775	-3216.086822
776	-3736.765605
777	-3800.748854
778	-1836.846934
779	-3683.353423
780	-3760.319395
781	-3365.358424
782	-3635.726281
783	-3368.885431
784	-3181.364101
785	-2617.965482
786	-2526.196802
787	-2665.729513
788	-3081.147778
789	-3204.609100
790	-3042.335422
791	-2668.909840
792	-3626.833960
793	-3134.642715
794	-2498.970572
795	-2372.515806
796	-3048.279708
797	-3180.552457
798	-3225.599836
799	-3238.035098
800	-2316.691583
801	-1266.416501
802	-1278.841302
803	-904.078343
804	-675.849193
805	-701.740502
806	-632.401004
807	-204.840232
808	33.711555
809	566.357254
810	797.215846
811	1007.058447
812	-74.486875
813	-55.838928
814	-36.905784
815	-18.989019
816	5.216983
817	10.129332
818	25.215289
819	161.785057
820	1.346942
821	-12.936337
822	214.963509
823	157.248250
824	-5.456150
825	177.119488
826	341.652632
827	584.182929
828	131.046668
829	10.785837
830	-53.953409
831	-44.761884
832	-71.456305
833	-1879.472928
834	-2021.419851
835	-1098.035545
836	-839.154286
837	-1112.309824
838	-1497.284772
839	-1614.221032
840	-3477.141170
841	-3818.627629
842	-3816.096850
843	-3788.336514
844	-3279.974242
845	-2703.155142
846	-2733.887379
847	-2193.989385
848	-2007.428367
849	-1671.969586
850	-2045.738177
851	-2170.626365
852	-2593.241719
853	-2138.788945
854	-1940.927465
855	-1455.134025
856	-3409.563465
857	-3565.878820
858	-2601.466170
859	-1072.881090
860	-3708.195898
861	-3452.386698
862	-3044.677239
863	-2931.186273
864	-2292.156376
865	-1957.149540
866	-2084.828693
867	-2483.746079
868	-2942.793402
869	-3153.622580
870	-3114.478829
871	-2801.574922
872	-3539.511402
873	-3342.105233
874	-2995.093420
875	-2335.262562
876	-2631.983649
877	-3150.541711
878	-3225.524920
879	-3234.042817
880	-3168.674146
881	-1462.074622
882	-1316.176562
883	-1282.909248
884	-1098.656333
885	-859.661215
886	-1273.782927
887	-1056.602761
888	-140.223764
889	198.023804
890	463.335077
891	467.855510
892	663.187009
893	-90.580214
894	-65.803179
895	-37.218344
896	-27.850925
897	-9.752622
898	8.913281
899	24.109932
900	67.465171
901	289.515267
902	-14.203069
903	-3.967714
904	147.576812
905	64.261849
906	50.693583
907	499.439884
908	633.514457
909	407.027342
910	53.490119
911	-3.499390
912	-55.459901
913	-52.155524
914	-972.252886
915	-3295.756394
916	-2532.249684
917	-1541.633468
918	-978.934024
919	-1352.943309
920	-1256.910080
921	-1712.080970
922	-3737.218820
923	-3833.575233
924	-3777.897461
925	-3560.886982
926	-3024.849152
927	-2744.639914
928	-2552.017226
929	-2340.599739
930	-1844.973795
931	-1532.268791
932	-1521.342716
933	-2065.470427
934	-2354.457900
935	-2588.472246
936	-1507.111814
937	-1792.589695
938	-3291.933764
939	-2907.922849
940	-1567.035692
941	-2402.192060
942	-3389.626988
943	-2888.221516
944	-1930.029137
945	-1142.760420
946	-502.437709
947	-813.615064
948	-1671.200329
949	-2299.811878
950	-2968.063454
951	-3013.323310
952	-2933.361179
953	-3673.006638
954	-3552.596610
955	-3016.211449
956	-2721.863931
957	-2443.745381
958	-2872.842993
959	-3167.703522
960	-3235.819507
961	-3242.818629
962	-2323.343307
963	-1287.531678
964	-1369.203875
965	-1391.661179
966	-1154.493380
967	-1474.781650
968	-1424.406460
969	-847.207133
970	-176.207429
971	86.317484
972	243.549022
973	262.169292
974	-108.926157
975	-76.906264
976	-57.227167
977	-37.439124
978	-16.387123
979	0.356610
980	7.417765
981	53.998308
982	206.196246
983	169.302216
984	55.241658
985	80.511898
986	177.240624
987	13.273800
988	206.068154
989	441.080174
990	715.993230
991	180.148493
992	27.041442
993	-38.067025
994	-59.750435
995	-203.543976
996	-2796.019092
997	-3848.491129
998	-3484.999795
999	-2744.275903
1000	-1979.592490
1001	-1735.905883
1002	-1945.960814
1003	-3759.312186
1004	-3837.395106
1005	-3812.438328
1006	-3766.887659
1007	-3295.096692
1008	-2832.467247
1009	-2929.451378
1010	-2480.468535
1011	-2450.909086
1012	-1926.502543
1013	-1883.404544
1014	-1519.370160
1015	-2104.703495
1016	-2690.744295
1017	-2399.588055
1018	-845.262720
1019	-2734.941084
1020	-2935.930713
1021	-1449.447080
1022	-1208.086705
1023	-2502.528849
1024	-1887.770614
1025	-1350.437299
1026	-309.881955
1027	-134.225082
1028	-243.521308
1029	-485.508828
1030	-847.206669
1031	-2176.437406
1032	-2583.509432
1033	-3398.047624
1034	-3679.614879
1035	-3627.207640
1036	-3242.973483
1037	-2964.993873
1038	-2296.306643
1039	-2509.071145
1040	-3115.753872
1041	-3221.110898
1042	-3228.097742
1043	-3049.562646
1044	-1765.479771
1045	-1320.669272
1046	-1524.605914
1047	-1499.886119
1048	-1545.765234
1049	-1763.510078
1050	-1261.999578
1051	-386.130440
1052	-165.054075
1053	-47.476951
1054	-16.993870
1055	-90.393224
1056	-69.976856
1057	-44.626707
1058	-27.562465
1059	-11.509492
1060	2.327325
1061	10.443206
1062	168.971309
1063	256.461019
1064	164.498575
1065	287.000953
1066	292.002037
1067	268.565988
1068	81.135002
1069	469.061600
1070	479.182333
1071	452.947279
1072	79.727641
1073	21.239378
1074	-79.003668
1075	-102.226911
1076	-2010.740718
1077	-3667.218754
1078	-3867.926426
1079	-3843.399462
1080	-3766.431462
1081	-3313.448937
1082	-3095.875954
1083	-3760.862093
1084	-3830.527788
1085	-3825.004782
1086	-3807.026304
1087	-3793.206549
1088	-2964.858659
1089	-3108.373695
1090	-2811.268255
1091	-2797.345443
1092	-2487.971334
1093	-1440.297984
1094	-1832.476942
1095	-1834.267922
1096	-2391.516644
1097	-2527.355805
1098	-1872.221195
1099	-1187.984146
1100	-3065.667457
1101	-2134.239373
1102	-1181.848256
1103	-1558.164300
1104	-2456.417220
1105	-280.663025
1106	-119.694915
1107	33.784583
1108	-164.534467
1109	-203.195125
1110	-267.978020
1111	-433.463565
1112	-1454.329438
1113	-2485.704184
1114	-3626.336350
1115	-3641.666748
1116	-3533.398884
1117	-2983.022888
1118	-2820.854012
1119	-2218.073477
1120	-2807.014664
1121	-3078.700751
1122	-3214.826180
1123	-3092.168681
1124	-2767.896093
1125	-1729.877510
1126	-1582.812931
1127	-1817.665485
1128	-2355.477996
1129	-2269.322454
1130	-1459.362985
1131	-865.671615
1132	-241.471900
1133	-293.933333
1134	-233.025781
1135	-100.535294
1136	-99.632960
1137	-81.393035
1138	-58.494153
1139	-35.114115
1140	-21.580477
1141	6.157620
1142	13.044357
1143	16.326265
1144	62.262737
1145	313.568216
1146	288.099415
1147	477.981722
1148	260.257028
1149	49.764950
1150	86.376710
1151	425.782430
1152	639.535284
1153	259.613766
1154	41.431586
1155	4.480058
1156	-98.820286
1157	-1112.768166
1158	-3312.275648
1159	-3864.509399
1160	-3857.198114
1161	-3854.531972
1162	-3845.604622
1163	-3840.151978
1164	-3836.111420
1165	-3833.430835
1166	-3825.922770
1167	-3818.515848
1168	-3800.030741
1169	-3671.747049
1170	-3205.831945
1171	-3209.758962
1172	-3061.169561
1173	-2791.063012
1174	-2096.033486
1175	-1286.363895
1176	-1533.421698
1177	-2026.731415
1178	-2530.265999
1179	-2048.940670
1180	-790.138637
1181	-2418.636957
1182	-2624.841044
1183	-1504.875409
1184	-780.676866
1185	-842.676476
1186	-173.870947
1187	-131.178465
1188	311.562791
1189	-113.413338
1190	-141.308675
1191	-187.180437
1192	-222.884230
1193	-230.790336
1194	-1133.456266
1195	-3089.629080
1196	-3618.878579
1197	-3625.110012
1198	-3262.964520
1199	-2955.590998
1200	-2362.783897
1201	-2148.139067
1202	-2995.811850
1203	-3189.654174
1204	-3208.552725
1205	-2750.693390
1206	-2782.101094
1207	-2316.922662
1208	-2452.353494
1209	-2727.010858
1210	-2693.175348
1211	-1967.312324
1212	-1190.414005
1213	-405.956333
1214	-357.729607
1215	-320.427396
1216	-268.824221
1217	-100.679226
1218	-88.986532
1219	-71.500799
1220	-47.105212
1221	-37.278552
1222	75.472850
1223	64.539717
1224	16.552940
1225	43.826420
1226	59.306354
1227	133.728762
1228	439.029397
1229	386.483327
1230	231.346277
1231	69.698803
1232	418.980922
1233	591.195049
1234	382.284980
1235	103.788987
1236	18.891639
1237	-2.973398
1238	-226.718561
1239	-2937.198034
1240	-3846.916039
1241	-3861.735067
1242	-3855.226125
1243	-3849.380558
1244	-3843.093893
1245	-3837.504758
1246	-3831.579891
1247	-3828.473584
1248	-3820.196519
1249	-3802.601449
1250	-3783.535087
1251	-3511.867860
1252	-3540.043639
1253	-3313.467191
1254	-3310.066730
1255	-2573.681212
1256	-1778.280242
1257	-1422.111165
1258	-1627.458565
1259	-2168.318488
1260	-2195.988917
1261	-1513.641962
1262	-523.668349
1263	-2786.028840
1264	-2331.956634
1265	-596.681802
1266	-220.074794
1267	-158.367245
1268	-50.237991
1269	-35.096871
1270	268.826145
1271	-199.443331
1272	-224.434329
1273	-260.356130
1274	-231.138769
1275	-256.583614
1276	-1763.849354
1277	-3306.598652
1278	-3593.757537
1279	-3503.644363
1280	-2966.528959
1281	-2766.726894
1282	-2181.948656
1283	-2468.769966
1284	-3214.526588
1285	-3121.220560
1286	-2643.230014
1287	-2990.949135
1288	-3293.833729
1289	-3080.375050
1290	-2969.854317
1291	-2879.374687
1292	-2657.094237
1293	-1620.743733
1294	-768.538095
1295	-395.523111
1296	-344.817992
1297	-287.336146
1298	-86.322548
1299	-81.518578
1300	-62.931251
1301	-37.547216
1302	35.626526
1303	234.803123
1304	171.129868
1305	64.649014
1306	40.830209
1307	61.272614
1308	98.046256
1309	233.809459
1310	215.484040
1311	278.192013
1312	124.377752
1313	647.176482
1314	565.732795
1315	254.324686
1316	46.830943
1317	2.106686
1318	-74.967916
1319	-1944.980399
1320	-3783.724615
1321	-3859.906968
1322	-3851.617027
1323	-3854.626215
1324	-3847.405726
1325	-3837.549319
1326	-3833.539756
1327	-3829.099786
1328	-3822.048210
1329	-3807.953961
1330	-3784.664259
1331	-3760.631222
1332	-3703.563226
1333	-3526.589862
1334	-3429.972744
1335	-3117.651936
1336	-2284.005326
1337	-1563.776045
1338	-1583.021012
1339	-1773.285540
1340	-2095.240800
1341	-1784.380402
1342	-557.596821
1343	-1135.053335
1344	-2594.050898
1345	-1641.363416
1346	-165.002397
1347	38.384814
1348	279.126430
1349	-36.181954
1350	350.700445
1351	-43.416718
1352	-134.920667
1353	-214.721931
1354	-211.140632
1355	-234.999313
1356	-306.078425
1357	-2406.188165
1358	-3505.340947
1359	-3530.346765
1360	-3367.245023
1361	-2839.695813
1362	-2556.204693
1363	-2053.474591
1364	-3000.928630
1365	-2998.148940
1366	-2910.507624
1367	-2780.547124
1368	-3485.604424
1369	-3561.135681
1370	-3114.815884
1371	-2950.769411
1372	-2733.152723
1373	-2316.661285
1374	-1189.150551
1375	-415.211288
1376	-345.756492
1377	-199.304361
1378	-238.083639
1379	38.178994
1380	-74.330274
1381	-74.797715
1382	-58.617117
1383	-39.467386
1384	107.017258
1385	451.932365
1386	367.252928
1387	110.243224
1388	122.156966
1389	47.947747
1390	172.036999
1391	110.490883
1392	93.407445
1393	250.989590
1394	639.217790
1395	820.793032
1396	349.061729
1397	101.759638
1398	23.225615
1399	-9.806052
1400	-427.246318
1401	-3369.202509
1402	-3852.745842
1403	-3855.015409
1404	-3841.775964
1405	-3864.634706
1406	-3839.822662
1407	-3829.532730
1408	-3823.425863
1409	-3814.994211
1410	-3810.519070
1411	-3788.160042
1412	-3760.034300
1413	-3729.466521
1414	-3658.538847
1415	-3518.464182
1416	-3272.196962
1417	-2824.078569
1418	-1738.812483
1419	-1393.046914
1420	-1548.147217
1421	-1947.646127
1422	-2029.486610
1423	-891.073172
1424	-443.390294
1425	-2635.377325
1426	-2163.785217
1427	-237.733022
1428	142.251787
1429	619.529599
1430	36.885833
1431	91.878290
1432	506.191619
1433	-179.374471
1434	-105.508742
1435	-203.299610
1436	-221.541317
1437	-335.662916
1438	-627.310015
1439	-3059.551002
1440	-3466.281806
1441	-3432.535650
1442	-2911.782634
1443	-2829.212708
1444	-2036.668180
1445	-2331.416558
1446	-2777.752465
1447	-3272.548104
1448	-3221.279836
1449	-3513.245018
1450	-3516.670034
1451	-3333.643716
1452	-3122.460540
1453	-2839.062951
1454	-2575.318811
1455	-1809.480969
1456	-747.500505
1457	-344.962783
1458	-145.254128
1459	-137.394199
1460	106.530324
1461	-28.693536
1462	-64.060025
1463	-73.187581
1464	-46.041550
1465	3.212821
1466	224.660641
1467	553.535399
1468	210.007659
1469	177.754642
1470	50.417636
1471	81.019101
1472	100.750433
1473	65.834995
1474	336.918244
1475	305.950791
1476	1025.583140
1477	836.092742
1478	223.691912
1479	53.858658
1480	2.262693
1481	-53.686777
1482	-2269.966139
1483	-3830.262670
1484	-3844.107248
1485	-3835.496422
1486	-3858.384116
1487	-3833.366733
1488	-3821.596258
1489	-3820.142287
1490	-3814.035987
1491	-3811.669560
1492	-3791.481013
1493	-3763.771310
1494	-3732.723277
1495	-3666.676844
1496	-3607.744323
1497	-3243.838261
1498	-3045.727131
1499	-2335.551564
1500	-1541.141097
1501	-1712.824187
1502	-1711.378779
1503	-2018.911119
1504	-1225.582137
1505	-453.477984
1506	-1673.196562
1507	-2288.142183
1508	-699.012837
1509	22.996998
1510	640.037449
1511	410.943177
1512	287.132155
1513	528.955853
1514	294.843457
1515	-152.286967
1516	-92.863938
1517	-171.003375
1518	-323.659817
1519	-295.101526
1520	-1469.209757
1521	-3348.284726
1522	-3389.851440
1523	-3293.992240
1524	-2746.568860
1525	-2471.397178
1526	-2060.799541
1527	-2692.097211
1528	-3051.522373
1529	-3263.839572
1530	-3597.419464
1531	-3540.002007
1532	-3508.012234
1533	-3373.107091
1534	-3084.950259
1535	-2767.876254
1536	-2287.837087
1537	-1196.126330
1538	-363.162898
1539	-151.228485
1540	-102.881047
1541	112.807849
1542	70.687703
1543	-57.455685
1544	-66.480675
1545	-41.564587
1546	25.807834
1547	466.771566
1548	529.523625
1549	249.695151
1550	188.527243
1551	112.867881
1552	231.943834
1553	184.148351
1554	65.741382
1555	216.893643
1556	849.469716
1557	1180.172519
1558	466.957463
1559	142.344348
1560	40.711166
1561	-8.868319
1562	-1006.367411
1563	-3487.163325
1564	-3812.126488
1565	-3839.152338
1566	-3824.481603
1567	-3826.287106
1568	-3815.107716
1569	-3804.917911
1570	-3805.361665
1571	-3805.796265
1572	-3788.991591
1573	-3767.501908
1574	-3725.742950
1575	-3701.207473
1576	-3638.681506
1577	-3366.723268
1578	-3246.827176
1579	-2826.978604
1580	-2040.017537
1581	-1427.782932
1582	-1755.516178
1583	-1966.459796
1584	-1445.664043
1585	-591.000504
1586	-1301.976071
1587	-2006.006941
1588	-695.728191
1589	-102.904985
1590	320.787598
1591	693.389620
1592	448.598727
1593	411.711854
1594	597.041728
